Ward,Name,Area (sq km)
1,Etobicoke North,17.4
2,Etobicoke North,31.8
3,Etobicoke Centre,17.3
4,Etobicoke Centre,16.9
5,Etobicoke-Lakeshore,24.5
6,Etobicoke-Lakeshore,17.6
7,York West,20.3
8,York West,16.5
9,York Centre,14.6
10,York Centre,15.3
11,York South-Weston,13.0
12,York South-Weston,12.0
13,Parkdale-High Park,10.3
14,Parkdale-High Park,5.4
15,Eglinton-Lawrence,12.5
16,Eglinton-Lawrence,10.2
17,Davenport,6.6
18,Davenport,4.7
19,Trinity-Spadina,6.9
20,Trinity-Spadina,7.5
21,St. Paul's,6.6
22,St. Paul's,8.6
23,Willowdale,14.9
24,Willowdale,17.7
25,Don Valley West,23.7
26,Don Valley West,10.9
27,Toronto Centre-Rosedale,8.3
28,Toronto Centre-Rosedale,9.2
29,Broadview-Greenwood,7.9
30,Broadview-Greenwood,12.3
31,Beaches-East York,8.9
32,Beaches-East York,9.5
33,Don Valley East,10.8
34,Don Valley East,15.9
35,Scarborough Southwest,13.7
36,Scarborough Southwest,15.7
37,Scarborough Centre,18.9
38,Scarborough Centre,15.1
39,Scarborough-Agincourt,10.9
40,Scarborough-Agincourt,11.7
41,Scarborough-Rouge River,21.1
42,Scarborough-Rouge River,39.3
43,Scarborough East,15.8
44,Scarborough East,26.0
,,
,,
,,
,,
,,
,,
,,
,,